,Buy
11123,1
8810,0
10203,0
6128,1
66,0
5127,1
4712,1
5214,0
3260,1
5033,0
2572,0
10562,1
10510,0
622,1
1681,1
787,0
3332,0
7135,0
6008,0
7640,0
10824,0
3280,0
7293,1
11283,1
8385,0
9586,0
10701,0
515,0
478,0
10009,0
6569,0
8469,1
2647,0
10142,0
11397,1
11603,0
1033,1
11052,1
2598,1
12214,0
6935,0
6618,0
8387,1
8128,1
344,1
5521,0
6379,0
1871,0
2977,1
7690,1
3986,1
11890,1
2888,1
10422,1
4623,0
4818,1
8929,1
11354,0
220,0
11368,0
7244,1
7414,1
10296,1
7076,0
8132,0
6747,1
4016,0
6321,0
4248,1
9468,0
11320,0
8670,1
10369,0
5868,1
6658,1
1264,0
7861,0
4241,1
5650,0
8424,0
11243,0
7530,1
11357,0
7235,0
8593,0
2881,1
1677,1
10311,0
11502,0
901,1
9453,0
2296,1
3402,1
6452,0
296,1
10868,1
4153,0
10051,0
6750,0
27,1
11124,1
9164,1
3829,1
11530,0
3248,0
11471,0
9796,1
11086,0
2580,0
11456,1
9201,1
10934,1
1370,1
12199,0
9371,1
7962,1
5551,1
8641,1
5254,0
681,0
11711,1
4775,1
5422,0
3159,1
8998,1
2987,1
4908,1
1882,0
8518,1
8861,0
1940,1
3296,0
3534,0
6742,0
3729,0
490,1
7764,1
1181,0
1375,1
5014,0
8030,0
7017,0
626,0
4758,0
11235,0
2112,1
8550,0
8047,1
6253,0
1767,0
9075,1
4180,1
9367,1
6529,0
1462,0
2887,0
6786,1
684,0
4539,0
4514,1
9512,0
9731,1
1366,1
3916,0
12134,0
2639,1
11707,1
5602,0
11167,1
5729,1
5730,1
9281,0
8563,1
2300,1
4787,0
2938,1
5659,0
9677,0
10713,1
7720,0
1979,0
5979,1
3803,0
4534,1
8361,0
6975,1
6662,1
12225,1
7284,1
9603,0
4800,1
2280,1
6829,1
6377,1
4469,0
5133,0
9293,0
998,1
4130,1
5266,0
8729,1
12139,1
1784,0
3182,0
10723,0
494,1
6860,0
9607,0
6400,1
2860,1
2038,1
4041,1
9490,1
2897,1
366,1
849,1
12174,1
6808,0
8222,0
6613,0
2653,0
3503,0
8678,0
6095,0
1541,0
9990,0
11808,0
322,0
2031,1
8064,0
8251,1
813,0
2528,1
11601,0
6870,0
6280,1
11377,0
10545,1
5274,1
1079,0
2226,0
9663,0
11299,0
3515,1
2705,0
9589,1
9141,1
1164,0
3261,0
6515,0
12366,1
1450,0
6126,1
4229,0
8302,0
3862,1
2936,1
9994,1
3917,1
5487,0
7534,0
10078,0
1723,1
9120,1
6862,0
6920,1
4056,0
11770,0
2999,1
11263,0
11153,0
1231,1
1514,1
2313,1
9069,1
1451,1
10387,1
7143,1
6847,0
9169,0
10552,1
4321,0
9063,1
838,1
12269,0
10098,1
3899,0
11360,0
3567,0
11461,1
5452,1
3087,1
8247,0
10696,0
4546,1
4692,0
1714,0
7630,1
4270,0
339,0
9198,0
4086,1
9432,1
10062,1
7558,0
588,0
3365,0
2670,0
5515,0
3589,1
34,0
28,1
2395,1
6885,1
6946,1
5506,0
7061,0
2170,1
7914,1
7187,0
889,1
3878,1
3322,1
11627,1
3514,1
10816,0
10318,0
5673,1
8919,1
2774,1
3733,0
9012,1
11714,1
9420,1
4528,0
1654,1
7940,0
7746,1
223,1
10669,1
8833,0
6828,1
5982,1
4239,0
5882,1
1590,1
8683,1
3256,1
12128,1
7346,1
2181,1
7702,1
9247,1
7567,1
6165,1
9711,0
8671,0
11724,1
9234,0
4817,0
7379,0
6957,0
1209,1
6899,1
421,0
10822,0
1706,1
1158,0
2306,1
273,1
171,0
3956,1
5606,1
7631,1
4865,0
7482,1
3188,0
1725,1
10020,1
8441,1
1564,0
1782,0
843,1
11566,1
12296,1
904,1
3494,1
11972,1
11482,0
1547,0
10328,1
2080,1
9448,1
9267,1
6918,0
3985,0
8953,0
9567,0
12089,0
9081,1
10137,0
4677,1
3820,0
5209,1
2646,0
10832,1
9808,0
7859,1
256,1
9931,1
9378,0
4350,1
8736,1
7144,0
5923,1
6365,1
9578,0
2155,1
10293,0
10995,0
3715,1
4057,1
9058,0
10260,1
3622,1
5648,1
6874,0
6403,0
3102,0
558,0
11142,1
6733,1
1436,0
507,0
5275,1
4472,0
1869,0
5663,1
12261,1
5930,0
8649,0
755,1
9767,1
2339,1
4050,0
8102,0
3836,1
4386,0
8042,0
9407,1
2118,1
9533,1
729,1
501,1
6663,1
643,0
10638,1
1539,0
8788,1
1211,0
9133,1
11840,1
672,0
4915,0
6106,1
6657,0
3377,1
4476,1
5615,0
10874,1
1464,1
4745,1
11035,1
1192,1
3793,0
1872,0
3590,1
6360,1
3158,0
9993,0
505,1
243,1
5678,0
506,1
10118,0
6501,0
10737,0
6822,1
4717,1
6222,0
7103,1
9594,0
7695,1
1773,1
6632,1
3010,0
11893,1
10108,0
797,1
3618,0
2381,1
2829,0
7642,1
11532,0
12203,0
4633,0
312,0
6510,0
746,0
3569,0
790,0
2476,0
6120,0
10054,1
11541,1
2570,1
5753,1
8159,0
10697,0
6448,1
5599,0
8034,1
4355,0
2163,1
9088,0
12047,0
380,1
11260,0
1292,0
1912,0
7042,1
599,0
3892,0
4141,0
5540,0
1652,0
8057,1
9750,1
1893,1
1944,1
3395,1
3388,1
6502,0
4362,1
12091,1
375,1
1966,1
3957,0
6195,1
10858,0
4423,1
5351,1
5696,1
1243,0
8421,1
10936,0
11594,0
7958,1
11281,0
1471,0
3346,1
4522,0
2657,1
2853,1
4506,1
11730,0
11113,0
12098,0
4045,1
7960,0
4062,0
5326,0
12019,0
6578,0
9329,0
12150,0
4306,0
9237,1
5139,1
10798,1
9532,1
8137,0
3990,0
1049,1
3823,0
8206,0
9912,0
2035,1
4039,1
8069,1
7998,1
11576,0
1972,1
8403,0
2099,1
1499,1
5205,1
3512,1
7205,1
8673,1
652,0
170,0
4085,1
242,0
9763,1
5798,1
10514,1
4371,1
1644,0
6355,1
5594,1
2756,0
8127,0
7762,1
9526,1
9300,0
8493,1
5231,0
2076,1
4103,1
11833,1
3996,0
4801,1
5968,1
7464,1
7856,0
10335,1
10878,1
9459,1
11598,0
7300,0
10418,0
5849,1
7091,0
6903,0
10289,0
4661,1
4078,1
6054,1
10451,0
5974,1
640,0
1270,1
7063,1
2778,1
12239,1
4932,1
6060,0
1985,1
3861,0
3480,0
1534,0
325,1
5764,1
2338,0
7142,0
3980,1
9296,1
8294,0
4054,1
2237,0
5229,0
9436,1
4571,0
12056,1
5474,1
10759,0
864,1
8459,1
4942,1
2253,0
6010,0
8014,1
371,1
8887,0
11732,1
609,1
10208,1
10351,1
10782,1
8631,0
11489,1
12313,1
11941,0
10837,0
5830,0
2364,1
3213,1
5456,0
911,0
11182,0
10791,1
3789,0
9055,1
10421,0
5581,0
11719,0
9060,0
8660,1
5060,0
1423,1
12136,1
479,1
662,1
6897,0
6437,1
11106,1
11213,1
2988,1
1119,0
2776,0
4535,0
10983,0
8790,0
7698,0
6349,1
10795,1
9144,0
7868,0
5573,0
6135,0
5269,0
4427,0
9647,0
5247,1
7363,0
3981,1
10275,1
11783,0
2893,0
2669,0
3977,1
8116,0
279,1
9764,1
9197,0
9150,1
10908,1
9384,1
5197,1
4664,0
1694,1
11020,1
5018,1
6133,0
3479,0
5554,1
4416,1
11518,1
4155,1
4883,0
5807,1
3809,0
2552,0
10661,1
9902,1
4296,0
8225,0
4683,0
10413,0
8875,1
9698,1
5593,0
2209,1
9757,1
8949,0
5402,0
2410,1
4563,1
184,1
9025,1
7463,1
4516,0
2350,1
553,0
1397,0
1384,1
10235,1
7794,0
5856,1
4903,1
297,0
443,0
10880,1
5215,1
9595,1
7704,0
2077,0
7413,0
6017,1
4751,0
9887,0
2229,1
2842,1
2537,1
194,1
11853,1
6636,1
10702,0
817,1
3367,1
6916,1
6553,0
2578,0
1131,1
7189,1
5505,1
6854,1
6761,0
12049,0
10612,1
9568,0
320,0
1371,1
4042,0
7100,1
10792,1
907,1
305,1
3950,0
5529,1
7923,1
10993,0
9171,1
7665,1
